"lhs","rhs","support","confidence","lift","count","kulc","ir","idade","tabagismo","diabetes","desfecho"
"idade=idoso","grave",0.287128712871287,0.743589743589744,1.74657125819917,58,0.709004174120453,0.0754716981132075,"idoso",NA,NA,NA
"diabetes=sim","grave",0.386138613861386,0.857142857142857,2.01328903654485,78,0.882059800664452,0.0505050505050505,NA,NA,"sim",NA
"tabagismo=sim","grave",0.400990099009901,0.861702127659574,2.02399802078179,81,0.901781296387927,0.0808080808080808,NA,"sim",NA,NA
"idade=idoso,diabetes=sim","grave",0.262376237623762,0.946428571428571,2.22300664451827,53,0.781353820598007,0.337078651685393,"idoso",NA,"sim",NA
"idade=idoso,tabagismo=sim","grave",0.262376237623762,1,2.34883720930233,53,0.808139534883721,0.383720930232558,"idoso","sim",NA,NA
"tabagismo=sim,diabetes=sim","grave",0.361386138613861,0.935897435897436,2.19827072152654,73,0.892367322599881,0.0879120879120879,NA,"sim","sim",NA
